0	6152
0	7269
1	11983
1	17272
10	32714
10	23894
100	20494
100	31030
1000	20487
1000	440
10000	16490
10000	4028
10001	23108
10001	24995
10002	13024
10002	28036
10002	28874
10003	7342
10003	32288
10003	34349
10003	2642
10003	16963
10003	19134
10003	21396
10003	16762
10003	21330
10003	27354
10003	26296
10003	22610
10004	3915
10004	18333
10004	4407
10004	9341
10004	474
10004	29403
10004	21853
10004	11353
10004	25762
10004	21330
10004	32624
10004	28343
10004	6231
10005	25099
10005	13224
10006	34349
10006	33437
10007	23178
10007	560
10007	7811
10007	26684
10007	19332
10008	33714
10008	33946
10008	28005
10008	18261
10008	11465
10008	32624
10008	20741
10008	27821
10009	25972
10009	29855
1001	268
1001	1229
10010	28022
10010	2352
10010	5681
10010	7734
10010	25030
10010	15593
10011	25356
10011	32781
10012	4989
10012	22827
10013	18240
10013	16963
10014	29819
10014	788
10015	34058
10015	10461
10015	29879
10015	5350
10015	34347
10015	34254
10015	26296
10015	10105
10015	13150
10016	2746
10016	18073
10017	7424
10017	4618
10018	28309
10018	18809
10018	13922
10018	10400
10018	27658
10018	16147
10018	34216
10018	10719
10018	22443
10018	5795
10018	33424
10018	9405
10018	22138
10018	13660
10018	33255
10018	21330
10018	20003
10018	11909
10018	16526
10018	7845
10018	26715
10018	6240
10018	32395
10018	13412
10018	25032
10018	29051
10018	13230
10018	6490
10018	13498
10018	10881
10018	29061
10018	16004
10018	15916
10018	23722
10018	12001
10018	12479
10018	22373
10018	13195
10018	17238
10018	15792
10018	14326
10018	12280
10018	22689
10018	22297
10018	15826
10018	6555
10018	4943
10018	12162
10018	20373
10019	21140
10019	14851
1002	18845
1002	11992
1002	1372
10020	13581
10020	21800
10021	9923
10021	9658
10022	29344
10022	32806
10023	31605
10023	20039
10024	2336
10024	30923
10025	5088
10025	18261
10026	2642
10026	14921
10026	8533
10026	7363
10026	21330
10026	4711
10026	7761
10026	4313
10026	19568
10026	23165
10026	6371
10026	17376
10026	31226
10026	9229
10026	11353
10026	28829
10026	33617
10026	23267
10026	2494
10026	15792
10026	26745
10026	142
10026	18762
10026	23046
10027	23807
10027	20679
10028	26855
10028	26253
10029	2552
10029	12261
1003	32552
1003	4468
10030	22545
10030	31503
10031	23104
10031	26287
10031	8108
10031	4850
10032	9671
10032	13544
10032	8339
10032	27700
10032	24592
10032	23413
10032	12617
10032	34089
10032	29670
10033	28477
10033	17845
10033	17279
10033	31425
10034	2265
10034	10224
10035	27363
10035	2309
10036	22174
10036	34031
10036	20204
10036	2341
10037	21835
10037	4223
10038	4922
10038	22175
10039	5041
10039	27405
1004	11645
1004	7064
1004	26786
10040	15526
10040	21681
10040	19564
10041	22587
10041	33051
10041	30742
10042	8808
10042	14847
10043	31325
10043	10506
10043	17691
10044	10779
10044	33906
10045	32187
10045	12411
10046	18676
10046	29407
10047	16111
10047	18184
10048	33322
10048	18890
10049	7422
10049	22433
1005	8592
1005	18891
1005	11603
1005	21677
1005	28005
1005	30394
1005	15006
1005	10711
1005	10350
1005	30300
10050	2463
10050	6212
10050	9341
10050	4205
10051	32326
10051	14983
10051	2642
10051	292
10052	11464
10052	4073
10052	2494
10053	21853
10053	28365
10053	29663
10054	28380
10054	34456
10055	13519
10055	28722
10055	23085
10055	22650
10055	14281
10055	17961
10055	657
10055	4185
10055	11717
10055	11983
10055	32999
10055	13414
10055	7418
10056	22517
10056	3858
10057	25529
10057	22684
10057	9732
10058	31484
10058	19346
10059	2336
10059	30923
10059	6648
1006	8092
1006	8505
10060	8736
10060	23878
10060	17245
10060	15677
10060	6021
10060	12580
10060	32807
10060	29431
10060	2229
10060	4505
10060	10168
10060	2895
10060	14980
10060	224
10060	23268
10060	16767
10060	22405
10060	21853
10060	4655
10060	9341
10060	30310
10060	17272
10060	20484
10060	23028
10060	21325
10061	16902
10061	964
10062	28044
10062	13113
10062	6648
10062	2851
10062	19417
10062	1254
10062	28208
10062	32630
10062	15480
10062	19568
10062	4393
10062	30131
10062	13207
10062	28491
10062	26743
10062	32092
10062	13885
10062	3733
10062	10386
10062	6607
10062	21519
10062	25499
10062	14318
10062	15704
10063	20707
10063	32046
10064	27250
10064	29116
10065	29431
10065	15710
10066	12025
10066	21853
10066	19229
10067	3213
10067	32183
10068	21795
10068	15699
10068	18720
10068	9215
10069	25252
10069	25358
1007	33686
1007	10895
10070	29431
10070	21572
10070	27732
10070	19332
10070	4407
10070	9341
10070	25377
10070	29403
10070	22179
10070	21853
10070	10101
10070	9750
10070	11282
10070	14980
10070	10105
10070	3164
10070	23268
10071	25447
10071	1434
10072	28480
10072	7967
10073	11390
10073	15147
10073	31653
10074	17030
10074	28565
10075	17274
10075	17443
10076	23196
10076	29431
10076	14378
10076	33154
10076	28022
10076	9250
10076	27223
10076	15593
10077	2854
10077	2352
10078	7617
10078	30405
10079	17818
10079	17668
1008	12894
1008	16406
10080	3490
10080	6271
10080	16914
10081	4171
10081	30763
10082	7730
10082	4807
10082	31776
10083	12976
10083	4622
10084	20118
10084	4866
10085	29443
10085	22396
10086	9876
10086	10143
10087	31989
10087	10070
10087	14622
10087	26398
10088	4407
10088	27454
10088	16762
10088	23561
10088	2071
10088	1255
10088	9797
10088	13964
10088	26415
10088	34081
10088	13412
10088	7027
10088	29663
10088	14944
10088	2783
10088	16626
10088	7218
10088	10356
10088	116
10088	1486
10088	8724
10088	3882
10088	18970
10088	8836
10088	24830
10088	4652
10089	18646
10089	501
1009	31989
1009	14622
10090	2813
10090	20278
10090	33421
10091	29249
10091	22176
10091	24293
10092	24260
10092	34476
10092	26164
10092	26774
10092	10198
10092	33898
10092	8604
10092	29792
10092	30164
10092	23867
10092	21694
10092	12179
10092	1293
10092	12519
10092	6724
10092	16150
10092	19415
10092	32092
10092	6626
10092	14422
10092	30753
10092	21055
10093	7702
10093	2235
10094	23285
10094	15697
10095	9558
10095	31917
10096	27594
10096	10059
10097	20074
10097	27579
10098	17416
10098	3129
10099	11624
10099	4070
101	18333
101	24124
101	33181
101	34303
101	7239
101	15334
101	32807
101	29431
101	34060
101	32773
101	13414
101	19603
101	772
101	21330
